"","users[, 1]","Book.Title","Book.Author","Publisher","ratings[, 3]"
"27",27,"Wild Animus","Rich Shapero","Too Far",0
"28",28,"Airframe","Michael Crichton","Ballantine Books",8
"29",29,"Timeline","MICHAEL CRICHTON","Ballantine Books",8
"30",30,"OUT OF THE SILENT PLANET","C.S. Lewis","Scribner",5
"31",31,"Prague : A Novel","ARTHUR PHILLIPS","Random House Trade Paperbacks",10
"32",32,"Chocolate Jesus","Stephan Jaramillo","Berkley Publishing Group",0
"33",33,"Wie Barney es sieht.","Mordecai Richler","L√?¬ºbbe",0
"34",34,"Der Fluch der Kaiserin. Ein Richter- Di- Roman.","Eleanor Cooney","Goldmann",5
"35",35,"Sturmzeit. Roman.","Charlotte Link","Goldmann",0
"36",36,"Tage der Unschuld.","Richard North Patterson","Goldmann",0
"37",37,"Lying Awake","Mark Salzman","Alfred A. Knopf",0
"38",38,"To Kill a Mockingbird","Harper Lee","Little Brown &amp; Company",0
"39",39,"Seabiscuit: An American Legend","LAURA HILLENBRAND","Ballantine Books",0
"40",40,"Pigs in Heaven","Barbara Kingsolver","Harpercollins",0
"41",41,"Miss Zukas and the Raven's Dance","Jo Dereske","Avon",0
"42",42,"Pride and Prejudice","Jane Austen","Bantam",0
"43",43,"The Therapeutic Touch: How to Use Your Hands to Help or to Heal","Dolores Krieger","Fireside",0
"44",44,"Downtown","Anne Rivers Siddons","HarperTorch",0
"45",45,"Icebound","Dean R. Koontz","Bantam Books",8
"46",46,"I'll Be Seeing You","Mary Higgins Clark","Pocket",0
"47",47,"From the Corner of His Eye","Dean Koontz","Bantam Books",0
"48",48,"Isle of Dogs","Patricia Cornwell","Berkley Publishing Group",0
"49",49,"Purity in Death","J.D. Robb","Berkley Publishing Group",0
"50",50,"This Year It Will Be Different: And Other Stories","Maeve Binchy","Dell",3
"51",51,"Proxies","Laura J. Mixon","Tor Books",0
"52",52,"Left Behind: A Novel of the Earth's Last Days (Left Behind #1)","Tim Lahaye","Tyndale House Publishers",0
"53",53,"The Street Lawyer","JOHN GRISHAM","Dell",0
"54",54,"Love, Medicine and Miracles","M.D. Bernie S. Siegel","HarperCollins Publishers",0
"55",55,"All the King's Men","Robert Penn Warren","Harvest Books",0
"56",56,"Pacific Northwest","Hans Johannes Hoefer","Chambers Harrap Publishers Ltd",4
"57",57,"A Soldier of the Great War","Mark Helprin","Avon Books",0
"58",58,"Getting Well Again","O. Carol Simonton Md","Bantam",4
"59",59,"Northwest Wines and Wineries","Chuck Hill","Speed Graphics",0
"60",60,"An Atmosphere of Eternity: Stories of India","David Iglehart","Sunflower Press",7
"61",61,"LONESOME DOVE","Larry McMurtry","Pocket",0
"62",62,"Shabanu: Daughter of the Wind (Border Trilogy)","SUZANNE FISHER STAPLES","Laurel Leaf",10
"63",63,"Haveli (Laurel Leaf Books)","SUZANNE FISHER STAPLES","Laurel Leaf",10
"64",64,"Lieux dits","Michel Tournier","Gallimard",0
"65",65,"The Dragons of Eden: Speculations on the Evolution of Human Intelligence","Carl Sagan","Ballantine Books",0
"66",66,"The yawning heights","Aleksandr Zinoviev","Random House",0
"67",67,"Breathing Lessons","Anne Tyler","Berkley Publishing Group",9
"68",68,"The Joy Luck Club","Amy Tan","Prentice Hall (K-12)",0
"69",69,"Heart of Darkness (Wordsworth Collection)","Joseph Conrad","NTC/Contemporary Publishing Company",0
"70",70,"The Angel Is Near","Deepak Chopra","St. Martin's Press",7
"71",71,"Tess of the D'Urbervilles (Wordsworth Classics)","Thomas Hardy","NTC/Contemporary Publishing Company",7
"72",72,"The Adventures of Drew and Ellie: The Magical Dress","Charles Noland","1stBooks Library",6
"73",73,"The Accidental Virgin","Valerie Frankel","Avon Trade",0
"74",74,"The Tao of Pooh","Benjamin Hoff","Penguin Books",0
"75",75,"Seabiscuit","LAURA HILLENBRAND","Ballantine Books",0
"76",76,"The Prince","Niccolo Machiavelli","Signet Book",0
"77",77,"Life's Little Instruction Book (Life's Little Instruction Books (Paperback))","H. Jackson Brown","Thomas Nelson",0
"78",78,"Starship Troopers","Robert A. Heinlein","Ace Books",8
"79",79,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)","PHILIP PULLMAN","Laurel Leaf",0
"80",80,"Black Beauty (Illustrated Classics)","Anna Sewell","Landoll",6
"81",81,"Anil's Ghost","MICHAEL ONDAATJE","Knopf",0
"82",82,"Prescription for Terror","Sandra Levy Ceren","Andrew Scott Publishers",6
"83",83,"Modern Manners: An Etiquette Book for Rude People","P.J. O'Rourke","Atlantic Monthly Press",0
"84",84,"Turning Thirty","Mike Gayle","Hodder &amp; Stoughton General Division",8
"85",85,"Decipher","Stel Pavlou","Simon &amp; Schuster (Trade Division)",7
"86",86,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell","Sarah Payne Stuart","Perennial",10
"87",87,"Standing Firm: A Vice-Presidential Memoir","Dan Quayle","Harpercollins",5
"88",88,"Team Bush : Leadership Lessons from the Bush White House","Donald F. Kettl","McGraw-Hill",0
"89",89,"The Right Man : The Surprise Presidency of George W. Bush","DAVID FRUM","Random House",5
"90",90,"Daybreakers Louis Lamour Collection","Louis Lamour","Bantam Doubleday Dell",0
"91",91,"The Catcher in the Rye","J.D. Salinger","Little, Brown",7
"92",92,"El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish))","J. R. R. Tolkien","Minotauro",0
"93",93,"El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback))","J. R. R. Tolkien","Minotauro",0
"94",94,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)","J. R. R. Tolkien","Distribooks",0
"95",95,"Midnight in the Garden of Good and Evil: A Savannah Story","John Berendt","Random House",0
"96",96,"Pretend You Don't See Her","Mary Higgins Clark","Pocket",0
"97",97,"Fast Women","Jennifer Crusie","St. Martin's Press",0
"98",98,"Female Intelligence","Jane Heller","St. Martin's Press",6
"99",99,"Pasquale's Nose: Idle Days in an Italian Town","Michael Rips","Back Bay Books",0
"100",100,"The Gospel of Judas: A Novel","Simon Mawer","Back Bay Books",0
"101",101,"Prize Stories, 1987: The O'Henry Awards","William Abrahams","Doubleday Books",0
"102",102,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!","Robert T. Kiyosaki","Warner Books",0
"103",103,"The Pillars of the Earth","Ken Follett","Signet Book",0
"104",104,"McDonald's: Behind the Arches","John F. Love","Bantam",0
"105",105,"Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!","Robert G. Allen","Fireside",0
"106",106,"Corelli's Mandolin : A Novel","LOUIS DE BERNIERES","Vintage",7
"107",107,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans","Pam Proctor","Fireside",0
"108",108,"The Five People You Meet in Heaven","Mitch Albom","Hyperion",0
"109",109,"Tu Nombre Escrito En El Agua (La Sonrisa Vertical)","Irene Gonzalez Frei","Tusquets",0
"110",110,"Relics (Star Trek: The Next Generation)","Michael Jan Friedman","Star Trek",8
"111",111,"Bless The Beasts And Children : Bless The Beasts And Children","Glendon Swarthout","Pocket",0
"112",112,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)","Neal Barrett Jr.","Dell",0
"113",113,"Blood Oath","David Morrell","St. Martin's Press",10
"114",114,"The Alibi","Sandra Brown","Warner Books",10
"115",115,"The Beach House","James Patterson","Warner Books",8
"116",116,"A Kiss Remembered","Sandra Brown","Warner Books",0
"117",117,"The Short Forever","Stuart Woods","Signet Book",0
"118",118,"Dead Aim","IRIS JOHANSEN","Bantam Books",0
"119",119,"Angels &amp; Demons","Dan Brown","Pocket Star",8
"120",120,"The Deal","Joe Hutsko","Tor Books (Mm)",0
"121",121,"All He Ever Wanted: A Novel","Anita Shreve","Back Bay Books",8
"122",122,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder","Ann Rule","Pocket",6
"123",123,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground","LEWIS GRIZZARD","Ballantine Books",8
"124",124,"The Mosquito Coast","Paul Theroux","Harper Mass Market Paperbacks (Mm)",6
"125",125,"If Love Were Oil, I'd Be About a Quart Low","Lewis Grizzard","Warner Books (Mm)",6
"126",126,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims","Charles Hickey","Onyx Books",8
"127",127,"The Girl Who Loved Tom Gordon","Stephen King","Pocket",0
"128",128,"Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions","Ben Mezrich","Free Press",8
"129",129,"The Oneprince (The Redaemian Chronicles, Book 1)","Bill Hand","Thomas Nelson Inc",7
"130",130,"The Sum of All Fears","Tom Clancy","Berkley Publishing Group",9
"131",131,"Care Packages : Letters to Christopher Reeve from Strangers and Other Friends","DANA REEVE","Random House",0
"132",132,"O Deus Das Pequenas Coisas","Roy","Edicoes Asa",0
"133",133,"Lady in Green/Minor Indiscretions (Signet Regency Romance)","Barbara Metzger","Signet Book",9
"134",134,"One Hundred Years of Solitude","Gabriel Garcia Marquez","Perennial",10
"135",135,"Little Altars Everywhere: A Novel","Rebecca Wells","Perennial",9
"136",136,"Coyote Waits (Joe Leaphorn/Jim Chee Novels)","Tony Hillerman","HarperTorch",10
"137",137,"Before I Say Good-Bye","Mary Higgins Clark","Pocket",9
"138",138,"Slow Waltz in Cedar Bend","Robert James Waller","Warner Books",9
"139",139,"Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title)","Rachel Harris","Pan Macmillan",10
"140",140,"Atonement : A Novel","IAN MCEWAN","Anchor",0
"141",141,"Next: The Future Just Happened","Michael Lewis","W.W. Norton &amp; Company",6
"142",142,"The Angelic Darkness","Richard Zimler","Arcadia Books",9
"143",143,"The Soulbane Stratagem","Norman Jetmundsen","John Hunt Publishing, Ltd.",8
"144",144,"Gangster","Lorenzo Carcaterra","Fawcett Books",10
"145",145,"Hush","Anne Frasier","Onyx Books",9
"146",146,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)","Kay Hooper","Bantam Books",10
"147",147,"Temor y Temblor","Soren Kierkegaard","Alianza",10
"148",148,"Estudios sobre el amor","Jose Ortega Y Gaset","Downtown Book Center",8
"149",149,"Rebecca","Daphne Du Maurier","Avon",10
"150",150,"Scarlet Letter","Nathaniel Hawthorne","Signet Book",7
"151",151,"Keep It Simple: And Get More Out of Life","Nick Page","Trafalgar Square",0
"152",152,"Diary of a Mad Mom-To-Be","Laura Wolf","Delta",0
"153",153,"Locked in Time (Laurel Leaf Books)","LOIS DUNCAN","Laure Leaf",0
"154",154,"Contact","Susan Grant","Love Spell",0
"155",155,"The Brimstone Wedding","Barbara Vine","Penguin Books Ltd",0
"156",156,"The Catswold Portal","Shirley Rousseau Murphy","Roc",0
"157",157,"Through Wolf's Eyes (Wolf)","Jane Lindskold","Tor Fantasy",0
"158",158,"Puerto Vallarta Squeeze","Robert James Waller","Warner Books",0
"159",159,"Tree Grows In Brooklyn","Betty Smith","Harpercollins Publisher",7
"160",160,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think","Cybill Shepherd","Avon Books",0
"161",161,"Snow Angels","Stewart O'Nan","Penguin Books",0
"162",162,"Wish You Well","David Baldacci","Warner Books",0
"163",163,"The Hitchhiker's Guide to the Galaxy","Douglas Adams","Pocket",0
"164",164,"Crow Lake (Today Show Book Club #7)","Mary Lawson","Delta",9
"165",165,"My Antonia","Willa Cather","Mariner Books",0
"166",166,"Pen Pals","Olivia Goldsmith","Signet Book",5
"167",167,"Bridget Jones's Diary","Helen Fielding","Picador (UK)",0
"168",168,"Pride and Prejudice (Dover Thrift Editions)","Jane Austen","Dover Publications",10
"169",169,"EYE ON CRIME: HARDY BOYS #153","Franklin W. Dixon","Aladdin",5
"170",170,"Skin And Bones","Franklin W. Dixon","Aladdin",0
"171",171,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)","Franklin W. Dixon","Simon Pulse",0
"172",172,"The Cat Who Came to Breakfast (Cat Who... (Hardcover))","Lilian Jackson Braun","Putnam Pub Group",0
"173",173,"If Singleness Is a Gift, What's the Return Policy?","Holly Virden","Nelson Books",7
"174",174,"Always Daddy's Girl: Understanding Your Father's Impact on Who You Are","H. Norman Wright","Regal Books",0
"175",175,"Night Mare (Xanth Novels (Paperback))","Piers Anthony","Del Rey Books",5
"176",176,"The Martian Chronicles","RAY BRADBURY","Spectra",0
"177",177,"Kabale Und Liebe","Schiller","Philipp Reclam, Jun Verlag GmbH",8
"178",178,"Der illustrierte Mann. Erz√?¬§hlungen.","Ray Bradbury","Diogenes",8
"179",179,"Der K√?¬∂nig in Gelb.","Raymond Chandler","Diogenes Verlag",7
"180",180,"Fahrenheit 451","Ray Bradbury","Distribooks Inc",10
"181",181,"Die Mars- Chroniken. Roman in Erz√?¬§hlungen.","Ray Bradbury","Diogenes Verlag",0
"182",182,"Das B√?¬∂se kommt auf leisen Sohlen.","Ray Bradbury","Diogenes",0
"183",183,"L√?¬∂wenzahnwein. Roman.","Ray Bradbury","Diogenes Verlag",8
"184",184,"Das Kind von morgen. Erz√?¬§hlungen.","Ray Bradbury","Diogenes Verlag",0
"185",185,"Die Mechanismen der Freude. Erz√?¬§hlungen.","Ray Bradbury","Diogenes Verlag",8
"186",186,"Familientreffen. Erz√?¬§hlungen.","Ray Bradbury","Diogenes Verlag",9
"187",187,"Der Tod kommt schnell in Mexico. Erz√?¬§hlungen.","Ray Bradbury","Diogenes Verlag",10
"188",188,"Veronika Deschliesst Zu Sterben / Vernika Decides to Die","Paolo Coelho","Distribooks",9
"189",189,"Die Liebe in Den Zelten","Gabriel Garcia Marquez","Deutscher Taschenbuch Verlag (DTV)",8
"190",190,"Die Klone der Joanna May. Roman.","Fay Weldon","Dtv",7
"191",191,"Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.","Arabella Weir","Dtv",10
"192",192,"Haifischfrauen.","Kiana Davenport","Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",0
"193",193,"Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.","Sue Townsend","Heyne",8
"194",194,"Schwarzer Tee mit drei St√ºck Zucker","Renan Demirkan","Kiepenheuer &amp; Witsch",10
"195",195,"Quersch√?¬ºsse - Downsize This!","Michael Moore","Piper",7
"196",196,"Die Korrekturen.","Jonathan Franzen","Rowohlt, Reinbek",9
"197",197,"Neun Erz√?¬§hlungen.","Jerome D. Salinger","Rowohlt Tb.",6
"198",198,"Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.","Jerome D. Salinger","Rowohlt Tb.",0
"199",199,"Ulysses (√?¬?bersetzg. Wollschl√?¬§ger). ( Neue Folge, 100).","James Joyce","Suhrkamp",0
"200",200,"Eine ganz normale Aff√?¬§re.","Joanna Trollope","Ullstein Tb",7
"201",201,"Das Intimleben des Adrian Mole, 13 3/4 Jahre. cbt. ( Ab 14 J.).","Sue Townsend","Bertelsmann, M√?¬ºnchen",9
"202",202,"Das Buch der l√?¬§cherlichen Liebe.","Milan Kundera","Fischer (Tb.), Frankfurt",0
"203",203,"The God of Small Things","Arundhati Roy","Perennial",7
"204",204,"The James Dean Affair: A Neil Gulliver &amp; Stevie Marriner Novel","Robert S. Levinson","St Martins Pr",6
"205",205,"The Big Bad Wolf: A Novel","James Patterson","Little, Brown",0
"206",206,"Four Blind Mice","James Patterson","Little, Brown",0
"207",207,"Private Screening","Richard North Patterson","Ballantine Books",0
"208",208,"Congo","Michael Crichton","Ballantine Books",8
"209",209,"Protect and Defend","Richard North Patterson","Ballantine Books",10
"210",210,"The Tall Pine Polka","Lorna Landvik","Ballantine Books",0
"211",211,"Memoirs of a Geisha","Arthur Golden","Alfred A. Knopf",10
"212",212,"Plainsong (Vintage Contemporaries)","KENT HARUF","Vintage",10
"213",213,"Body of Evidence (Kay Scarpetta Mysteries (Paperback))","Patricia D. Cornwell","Avon",10
"214",214,"All That Remains (Kay Scarpetta Mysteries (Paperback))","Patricia D. Cornwell","Avon",10
"215",215,"The Case of the Lost Look-Alike (An Avon Camelot Book)","Carol J. Farley","Avon Books",9
"216",216,"Petals on the River","Kathleen E. Woodiwiss","Avon Trade",7
"217",217,"The Elusive Flame","Kathleen E. Woodiwiss","Avon",10
"218",218,"Legacy of Silence","Belva Plain","Bantam Dell Pub Group",10
"219",219,"The Brethren","JOHN GRISHAM","Doubleday",10
"220",220,"The King of Torts","John Grisham","Doubleday Books",0
"221",221,"The Curious Incident of the Dog in the Night-Time : A Novel","MARK HADDON","Doubleday",0
"222",222,"Bleachers","John Grisham","Doubleday",8
"223",223,"Sisterhood of the Traveling Pants","ANN BRASHARES","Delacorte Books for Young Readers",10
"224",224,"Only Love (Magical Love)","Erich Segal","Berkley Publishing Group",5
"225",225,"All or Nothing (Wheeler Large Print Books)","Elizabeth Adler","Island",0
"226",226,"Roses Are Red (Alex Cross Novels)","James Patterson","Warner Vision",0
"227",227,"The Rescue","Nicholas Sparks","Warner Books",0
"228",228,"Manhattan Hunt Club","JOHN SAUL","Ballantine Books",0
"229",229,"Patty Jane's House of Curl (Ballantine Reader's Circle)","LORNA LANDVIK","Ballantine Books",0
"230",230,"Pet Sematary","Stephen King","Signet Book",0
"231",231,"Silent Snow","Steve Thayer","Signet Book",0
"232",232,"Girl with a Pearl Earring","Tracy Chevalier","Plume Books",0
"233",233,"Summer of Storms","Judith Kelman","Jove Books",0
"234",234,"The Patient","Michael Palmer","Bantam Books",8
"235",235,"Demona's Revenge (Gargoyles, No. 2)","Francine Hughes","Scholastic",0
"236",236,"Clifford's Sports Day","Norman Bridwell","Scholastic",0
"237",237,"Postmortem (Kay Scarpetta Mysteries (Paperback))","Patricia Cornwell","Pocket",0
"238",238,"Deception Point","Dan Brown","Pocket",0
"239",239,"Tis : A Memoir","Frank McCourt","Scribner",7
"240",240,"Angels &amp; Demons","Dan Brown","Atria",0
"241",241,"A Monk Swimming","Malachy McCourt","Hyperion",0
"242",242,"Crazy Horse","Mari Sandoz","University of Nebraska Press",1
"243",243,"The Silent Cry (William Monk Novels (Paperback))","Anne Perry","Ivy Books",7
"244",244,"The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency)","ALEXANDER MCCALL SMITH","Anchor",5
"245",245,"Chicken Soup for the Soul (Chicken Soup for the Soul)","Jack Canfield","Health Communications",5
"246",246,"Wicked: The Life and Times of the Wicked Witch of the West","Gregory Maguire","Regan Books",0
"247",247,"Life of Pi","Yann Martel","Harcourt",0
"248",248,"A Judgement in Stone","Ruth Rendell","Vintage Books USA",0
"249",249,"Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right","Al Franken","Dutton Books",0
"250",250,"Secret History","DONNA TARTT","Ballantine Books",0
"251",251,"Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper))","Jack Canfield","Health Communications",0
"252",252,"Great Expectations (Heinemann Guided Readers)","John Milne","Delta Systems",0
"253",253,"The Weight of Water","Anita Shreve","Little, Brown",0
"254",254,"Moving Pictures (Discworld Novels (Paperback))","Terry Pratchett","HarperTorch",0
"255",255,"Night Watch","Terry Pratchett","HarperCollins",0
"256",256,"Thief of Time","Terry Pratchett","HarperCollins Publishers",0
"257",257,"Charlotte's Web Book and Charm (Charming Classics)","E. B. White","HarperFestival",0
"258",258,"Peter Pan: The Original Story (Peter Pan)","J. M. Barrie","HarperFestival",0
"259",259,"My Friend Flicka","Mary O'Hara","Perennial",0
"260",260,"The Last Hero : A Discworld Fable (Discworld Novels (Hardcover))","Terry Pratchett","HarperCollins",0
"261",261,"Jingo: A Discworld Novel (Discworld Series/Terry Pratchett)","Terry Pratchett","HarperPrism",0
"262",262,"Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).)","Terry Pratchett","HarperPrism",0
"263",263,"Interesting Times: A Novel of Discworld","Terry Pratchett","Harpercollins",0
"264",264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson","Louise Rennison","HarperTempest",0
"265",265,"Mansfield Park (Penguin Popular Classics)","Jane Austen","Penguin Books Ltd",0
"266",266,"The Wind in the Willows","Kenneth Grahame","St. Martin's Press",0
"267",267,"The Winter King: A Novel of Arthur (The Warlord Chronicles: I)","Bernard Cornwell","St. Martin's Griffin",0
"268",268,"Moonheart (Newford)","Charles de Lint","Orb Books",0
"269",269,"The King of Elfland's Daughter (Del Rey Impact)","Edward John Moreton Drax Plunkett Dunsany","Del Rey Books",6
"270",270,"Powder and Patch","Georgette Heyer","Harlequin",0
"271",271,"The Picture of Dorian Gray (Modern Library (Paperback))","OSCAR WILDE","Modern Library",6
"272",272,"The Iron Giant","Ted Hughes","Knopf Books for Young Readers",0
"273",273,"James and the Giant Peach","ROALD DAHL","Knopf Books for Young Readers",0
"274",274,"The Amber Spyglass (His Dark Materials, Book 3)","PHILIP PULLMAN","Knopf Books for Young Readers",0
"275",275,"The Golden Compass (His Dark Materials, Book 1)","PHILIP PULLMAN","Knopf Books for Young Readers",0
"276",276,"The Subtle Knife (His Dark Materials, Book 2)","PHILIP PULLMAN","Knopf Books for Young Readers",0
"277",277,"The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole","Sue Townsend","Perennial",7
"278",278,"Martian Chronicles","Ray Bradbury","William Morrow",0
"279",279,"The Great God Pan","Donna Jo Napoli","Wendy Lamb Books",8
"280",280,"Possession: A Romance","A. S. Byatt","Random House Inc",8
"281",281,"Born Confused","Tanuja Desai Hidier","Push",10
"282",282,"Confessions of a Shopaholic","SOPHIE KINSELLA","Dell",10
"283",283,"Making Minty Malone","Isabel Wolff","Onyx Books",9
"284",284,"Little Women (Signet Classic)","Louisa May Alcott","Signet Classics",6
"285",285,"Emma (Signet Classics (Paperback))","Jane Austen","Signet Classics",8
"286",286,"Animal Farm","George Orwell","Signet",0
"287",287,"Great Expectations (Dover Thrift Editions)","Charles Dickens","Dover Publications",0
"288",288,"Eva Luna","Isabel Allende","Bantam Books",9
"289",289,"Poisonwood Bible Edition Uk","Barbara Kingsolver","Faber Faber Inc",0
"290",290,"The Green Man : Tales from the Mythic Forest","Ellen Datlow","Viking Juvenile",10
"291",291,"Nicholas Nickleby (Everyman's Library)","Charles Dickens","Alfred A. Knopf",8
"292",292,"Angels &amp; Insects : Two Novellas","A.S. BYATT","Vintage",9
"293",293,"Catch 22","Joseph Heller","Simon &amp; Schuster",8
"294",294,"The Forsyte Saga : The Man of Property and In Chancery","John Galsworthy","Touchstone",6
"295",295,"The Enchanted Wood","Enid Blyton","Egmont Childrens Books",9
"296",296,"The Folk of the Faraway Tree","Enid Blyton","Egmont Childrens Books",9
"297",297,"Angels and Visitations: A Miscellany","Neil Gaiman","Dreamhaven Books",9
"298",298,"League of Extraordinary Gentlemen, Vol. 2 (Comic)","Alan Moore","DC Comics",9
"299",299,"Preludes and Nocturnes (Sandman, Book 1)","Neil Gaiman","DC Comics",6
"300",300,"The League of Extraordinary Gentlemen, Vol. 1","Alan Moore","DC Comics",8
"301",301,"Harlequin Valentine","Neil Gaiman","Dark Horse Comics",0
"302",302,"Alpha Teach Yourself American Sign Language in 24 Hours (Alpha Teach Yourself in 24 Hours)","Trudy Suggs","Alpha Books",9
"303",303,"A Man in Full","Tom Wolfe","Farrar Straus &amp; Giroux",8
"304",304,"The Miracle Life of Edgar Mint: A Novel","Brady Udall","Vintage Books USA",10
"305",305,"October Sky: A Memoir","Homer Hickam","Dell",3
"306",306,"A Painted House","John Grisham","Dell Publishing Company",8
"307",307,"The Romance Reader","Pearl Abraham","Riverhead Books",0
"308",308,"Far from the Madding Crowd (Wordsworth Classics)","Thomas Hardy","NTC/Contemporary Publishing Company",9
"309",309,"The Perfect Storm : A True Story of Men Against the Sea","Sebastian Junger","Perennial",7
"310",310,"The Battle for God","Karen Armstrong","Ballantine Books",0
"311",311,"Sappho: A New Translation","Mary Barnard","University of California Press",3
"312",312,"The Postman (Bantam Classics)","David Brin","Spectra Books",5
"313",313,"The Tortilla Curtain","T. Coraghessan Boyle","Viking Books",0
"314",314,"Symposium","Paul Woodruff","Hackett Pub Co Inc",0
"315",315,"The What's Happening to My Body? Book for Boys: A Growing Up Guide for Parents and Sons","Lynda Madaras","W W Norton &amp; Co",4
"316",316,"OBJECT AFFECTION","Stephen McCauley","Washington Square Press",8
"317",317,"The Journey Home","Isabelle Holland","Scholastic Paperbacks (Mm)",7
"318",318,"Taking the Ferry Home","Pam Conrad","Harpercollins Juvenile Books",0
"319",319,"Angel of Hope (Mercy Trilogy)","Lurlene McDaniel","Starfire",5
"320",320,"The Breach","Brian Kaufman","Last Knight Pub Co",0
"321",321,"Neanderthal: A Novel","John Darnton","St. Martin's Press",0
"322",322,"A Small Dark Place","Martin Schenk","Ballantine Books",0
"323",323,"The Rivan Codex : Ancient Texts of THE BELGARIAD and THE MALLOREON","DAVID EDDINGS","Del Rey",0
"324",324,"Babyhood","Paul Reiser","Avon",5
"325",325,"Year's Best Fantasy (Year's Best Fantasy)","David G. Hartwell","Eos",0
